Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10010_001,SE_A10010_002,SE_A10010_003,SE_A10010_004,SE_A10010_005,SE_A10010_006,SE_A10010_007,SE_A10010_008,SE_A10010_009,SE_A10010_010,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010
"06037189801","Census Tract 1898.01, Los Angeles County, California","ACSSF","ca","140","00","0004649",,,,,"06","037",,,"189801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189801","Census Tract 1898.01",,,,1766,1766,1401,84,27,74,0,51,129,1290,1008,84,0,59,0,51,88,99,969,965,761,84,0,33,0,51,36,736,85
"06037189802","Census Tract 1898.02, Los Angeles County, California","ACSSF","ca","140","00","0004650",,,,,"06","037",,,"189802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189802","Census Tract 1898.02",,,,1917,1917,1422,228,0,98,0,61,108,1065,831,121,0,32,0,28,53,124,749,726,596,46,0,17,0,28,39,514,110
"06037189903","Census Tract 1899.03, Los Angeles County, California","ACSSF","ca","140","00","0004651",,,,,"06","037",,,"189903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189903","Census Tract 1899.03",,,,2209,2209,1679,94,0,232,0,94,110,1594,1208,59,0,202,0,53,72,185,1107,1093,783,59,0,185,0,53,13,726,110
"06037189904","Census Tract 1899.04, Los Angeles County, California","ACSSF","ca","140","00","0004652",,,,,"06","037",,,"189904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189904","Census Tract 1899.04",,,,2270,2270,1440,164,5,134,0,361,166,1436,933,114,5,74,0,181,129,291,838,1407,904,114,5,74,0,181,129,809,291
"06037189905","Census Tract 1899.05, Los Angeles County, California","ACSSF","ca","140","00","0004653",,,,,"06","037",,,"189905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189905","Census Tract 1899.05",,,,2508,2508,1692,150,0,97,0,179,390,1351,1040,96,0,54,0,96,65,218,939,1081,796,96,0,39,0,96,54,705,208
"06037189906","Census Tract 1899.06, Los Angeles County, California","ACSSF","ca","140","00","0004654",,,,,"06","037",,,"189906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189906","Census Tract 1899.06",,,,2467,2467,1786,168,0,337,0,35,141,1379,912,99,0,231,0,35,102,171,862,1304,861,99,0,207,0,35,102,811,171
"06037189907","Census Tract 1899.07, Los Angeles County, California","ACSSF","ca","140","00","0004655",,,,,"06","037",,,"189907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189907","Census Tract 1899.07",,,,2416,2416,1579,92,0,290,0,102,353,1404,1024,79,0,148,0,102,51,184,930,1348,968,79,0,148,0,102,51,884,174
"06037190101","Census Tract 1901.01, Los Angeles County, California","ACSSF","ca","140","00","0004656",,,,,"06","037",,,"190101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190101","Census Tract 1901.01",,,,1659,1659,686,255,33,123,0,180,382,1197,507,201,33,63,0,56,337,162,426,1197,507,201,33,63,0,56,337,426,162
"06037190102","Census Tract 1901.02, Los Angeles County, California","ACSSF","ca","140","00","0004657",,,,,"06","037",,,"190102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190102","Census Tract 1901.02",,,,2473,2473,1573,43,30,239,0,355,233,1351,819,34,30,106,0,169,193,337,781,1286,754,34,30,106,0,169,193,716,337
"06037190201","Census Tract 1902.01, Los Angeles County, California","ACSSF","ca","140","00","0004658",,,,,"06","037",,,"190201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190201","Census Tract 1902.01",,,,2928,2928,1348,264,48,161,0,482,625,1415,774,135,27,60,0,143,276,414,684,1411,770,135,27,60,0,143,276,680,414
"06037190202","Census Tract 1902.02, Los Angeles County, California","ACSSF","ca","140","00","0004659",,,,,"06","037",,,"190202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190202","Census Tract 1902.02",,,,2988,2988,1422,719,0,355,0,228,264,2266,1069,493,0,276,0,201,227,543,959,2227,1049,493,0,276,0,182,227,939,524
"06037190302","Census Tract 1903.02, Los Angeles County, California","ACSSF","ca","140","00","0004660",,,,,"06","037",,,"190302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190302","Census Tract 1903.02",,,,2811,2811,1593,126,0,493,0,467,132,1172,708,74,0,112,0,227,51,270,623,1008,625,60,0,62,0,227,34,540,270
