,APN,TOC
674,5414012002,Tier 4
675,5407017023,Tier 3
676,5409014001,Tier 3
677,5406024010,Tier 3
678,5406028061,Tier 3
679,5407012007,Tier 3
680,5408028908,Tier 3
681,5409004002,Tier 3
682,5406024027,Tier 3
683,5407010008,Tier 3
684,5406028051,Tier 3
685,5408023003,Tier 3
686,5408013011,Tier 4
687,5406028117,Tier 3
688,5407023012,Tier 3
689,5414006027,Tier 4
690,5406022121,Tier 2
691,5406028137,Tier 3
692,5406022087,Tier 2
693,5407018012,Tier 3
694,5406028023,Tier 3
695,5406028120,Tier 3
696,5407025019,Tier 3
697,5406028033,Tier 3
698,5407011014,Tier 3
699,5408013032,Tier 4
700,5406022114,Tier 2
701,5408013017,Tier 4
702,5406022126,Tier 2
703,5407007016,Tier 3
704,5408032019,Tier 4
705,5407017047,Tier 3
706,5407011003,Tier 3
707,5407017020,Tier 3
708,5414012016,Tier 4
709,5406028107,Tier 3
710,5408025012,Tier 3
711,5414005033,Tier 4
712,5408013029,Tier 4
713,5409005031,Tier 3
714,5406028024,Tier 3
715,5406025052,Tier 2
716,5407007009,Tier 3
717,5407008001,Tier 3
718,5408016017,Tier 3
719,5407004041,Tier 3
720,5406024049,Tier 2
721,5409005024,Tier 3
722,5406028111,Tier 3
723,5408019020,Tier 3
724,5406022069,Tier 2
725,5407013008,Tier 3
726,5408033008,Tier 4
727,5408014011,Tier 4
728,5407011015,Tier 3
729,5407007043,Tier 3
730,5407012017,Tier 3
731,5414005042,Tier 4
732,5407023001,Tier 3
733,5408016018,Tier 3
734,5407018026,Tier 3
735,5407005013,Tier 3
736,5406027014,Tier 3
737,5406028080,Tier 3
738,5407005008,Tier 3
739,5406025033,Tier 2
740,5406022062,Tier 2
741,5406022048,Tier 2
742,5409020909,Tier 3
743,5406022053,Tier 2
744,5406028047,Tier 3
745,5406022073,Tier 2
746,5414005031,Tier 4
747,5408019006,Tier 3
748,5407006017,Tier 3
749,5406022071,Tier 2
750,5414005066,Tier 4
751,5408019014,Tier 3
752,5407018010,Tier 3
753,5407017039,Tier 3
754,5407017057,Tier 3
755,5409005022,Tier 3
756,5406030021,Tier 3
757,5414006001,Tier 4
758,5406027017,Tier 3
759,5408014009,Tier 3
760,5406022045,Tier 2
761,5407023023,Tier 3
762,5407017017,Tier 3
763,5406027013,Tier 3
764,5409010806,Tier 3
765,5409023946,Tier 4
766,5414010003,Tier 4
767,5406024059,Tier 2
768,5406026020,Tier 2
769,5408016014,Tier 3
770,5406028150,Tier 3
771,5408019045,Tier 3
772,5406028103,Tier 3
773,5409014905,Tier 3
774,5406024056,Tier 2
775,5407022002,Tier 3
776,5406028056,Tier 3
777,5409006048,Tier 3
778,5414005024,Tier 4
779,5414007026,Tier 4
780,5406025009,Tier 2
781,5406028058,Tier 3
782,5407017040,Tier 3
783,5406025003,Tier 2
784,5408020006,Tier 4
785,5408018003,Tier 3
786,5406028062,Tier 3
787,5408013026,Tier 4
788,5406022122,Tier 2
789,5406022110,Tier 2
790,5406022136,Tier 2
791,5408014012,Tier 3
792,5408017905,Tier 3
793,5406028095,Tier 3
794,5408032027,Tier 4
795,5414005050,Tier 4
796,5406024024,Tier 3
797,5408030020,Tier 4
798,5408024007,Tier 4
799,5408015003,Tier 3
800,5407018002,Tier 3
801,5414005064,Tier 4
802,5409003041,Tier 3
803,5408023004,Tier 3
804,5409006019,Tier 3
805,5406022094,Tier 2
806,5408028013,Tier 3
807,5406022109,Tier 2
808,5406022076,Tier 2
809,5406023005,Tier 3
810,5408025900,Tier 3
811,5406022068,Tier 2
812,5406024067,Tier 2
813,5408032024,Tier 4
814,5408020003,Tier 3
815,5414008006,Tier 4
816,5408022003,Tier 3
817,5406028052,Tier 3
818,5407017044,Tier 3
819,5406024065,Tier 2
820,5406027016,Tier 3
821,5408026903,Tier 3
822,5406022070,Tier 2
823,5406022058,Tier 2
824,5414015010,Tier 4
825,5407022027,Tier 3
826,5408020005,Tier 4
827,5406028134,Tier 3
828,5414009005,Tier 4
829,5407005019,Tier 3
830,5408014017,Tier 3
831,5406028109,Tier 3
832,5407005001,Tier 3
833,5407017021,Tier 3
834,5406028124,Tier 3
835,5414011031,Tier 4
836,5406026013,Tier 2
837,5407017016,Tier 3
838,5406028098,Tier 3
839,5406026006,Tier 2
840,5406024033,Tier 3
841,5406028154,Tier 3
842,5409006053,Tier 3
843,5414005054,Tier 4
844,5414013901,Tier 4
845,5407009012,Tier 3
846,5408014010,Tier 4
847,5408019052,Tier 3
848,5406027009,Tier 3
849,5414014001,Tier 4
850,5407018023,Tier 3
851,5406025024,Tier 2
852,5409019900,Tier 3
853,5406028049,Tier 3
854,5406022042,Tier 2
855,5406028108,Tier 3
856,5406028054,Tier 3
857,5408019021,Tier 3
858,5407017022,Tier 3
859,5414011021,Tier 4
860,5407009007,Tier 3
861,5406028085,Tier 3
862,5414002010,Tier 3
863,5408014014,Tier 4
864,5408033016,Tier 4
865,5406025032,Tier 2
866,5408028004,Tier 4
867,5406025035,Tier 2
868,5406029013,Tier 3
869,5406030036,Tier 3
870,5409012903,Tier 3
871,5408028909,Tier 4
872,5406030038,Tier 3
873,5414008007,Tier 4
874,5406026012,Tier 2
875,5407022024,Tier 3
876,5408019056,Tier 3
877,5409012800,Tier 3
878,5414010005,Tier 4
879,5407006008,Tier 3
880,5406026018,Tier 2
881,5406028125,Tier 3
882,5406025049,Tier 2
883,5406024045,Tier 2
884,5406027004,Tier 3
885,5409009011,Tier 4
886,5407019001,Tier 3
887,5407017037,Tier 3
888,5406022116,Tier 2
889,5406028128,Tier 3
890,5407013005,Tier 3
891,5406028078,Tier 3
892,5408013031,Tier 4
893,5407006009,Tier 3
894,5406028153,Tier 3
895,5406024050,Tier 2
896,5406024028,Tier 3
897,5414011014,Tier 4
898,5409010032,Tier 3
899,5406022054,Tier 2
900,5406025043,Tier 2
901,5406028079,Tier 3
902,5406028060,Tier 3
903,5409019906,Tier 3
904,5406022075,Tier 2
905,5408019058,Tier 3
906,5406028042,Tier 3
907,5407021902,Tier 3
908,5409020902,Tier 3
909,5409015922,Tier 4
910,5408016006,Tier 3
911,5406022034,Tier 2
912,5406028144,Tier 3
913,5406027021,Tier 3
914,5406025031,Tier 2
915,5406028142,Tier 3
916,5406022112,Tier 2
917,5408013024,Tier 4
918,5408033015,Tier 4
919,5406028044,Tier 3
920,5407022009,Tier 3
921,5414006013,Tier 4
922,5414008008,Tier 4
923,5406026002,Tier 2
924,5408033006,Tier 3
925,5409005026,Tier 3
926,5407006016,Tier 3
927,5414005025,Tier 4
928,5407007038,Tier 3
929,5406026008,Tier 2
930,5407014022,Tier 3
931,5409006050,Tier 3
932,5406025018,Tier 2
933,5407011007,Tier 3
934,5407023005,Tier 3
935,5406028070,Tier 3
936,5407007048,Tier 3
937,5407005017,Tier 3
938,5406028113,Tier 3
939,5408033007,Tier 3
940,5408030027,Tier 4
941,5406024041,Tier 2
942,5406022090,Tier 2
943,5407023026,Tier 3
944,5408023001,Tier 3
945,5406028073,Tier 3
946,5407019006,Tier 3
947,5414012011,Tier 4
948,5409017906,Tier 4
949,5406024040,Tier 2
950,5409011901,Tier 3
951,5408021016,Tier 3
952,5407012010,Tier 3
953,5406022117,Tier 2
954,5408019037,Tier 3
