APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit
2350005015,5/4/16,2016,2,5505 N BONNER AVE,LOS ANGELES ,91601,12,32
2350005017,11/20/13,2013,2,5508 N KLUMP AVE,NORTH HOLLYWOOD ,91601,2,84
2350005018,11/20/13,2013,2,5512 N KLUMP AVE,NORTH HOLLYWOOD ,91601,2,0
2350005051,10/5/18,2018,2,5544 N BONNER AVE,LOS ANGELES ,91601,3,
2350005052,1/4/17,2017,2,5550 N BONNER AVE,N HOLLYWOOD ,91601,6,0
2350005054,1/4/17,2017,2,5560 N BONNER AVE,LOS ANGELES ,91601,6,48
2350006024,2/11/11,2011,2,5535 N KLUMP AVE,NORTH HOLLYWOOD ,91601,4,49
2350006026,2/11/11,2011,2,5525 N KLUMP AVE,NORTH HOLLYWOOD ,91601,2,0
2350007049,2/22/16,2016,2,11433 W ALBERS ST,NORTH HOLLYWOOD ,91601,2,59
2350007050,6/13/17,2017,2,11427 W ALBERS ST,LOS ANGELES ,91601,4,
2350007068,2/22/16,2016,2,11443 W ALBERS ST,LOS ANGELES ,91601,3,0
2350008039,12/6/22,2022,2,5557 N ELMER AVE,LOS ANGELES ,91601,2,
2350008040,8/15/22,2022,2,5553 N ELMER AVE,LOS ANGELES ,91601,2,
2350009052,9/25/18,2018,2,11466 W ALBERS ST,LOS ANGELES ,91601,2,
2350010015,9/12/18,2018,2,11502 W CUMPSTON ST,LOS ANGELES ,91601,4,
2350010016,1/25/16,2016,2,5408 N BECK AVE,LOS ANGELES ,91601,4,60
2350010019,5/10/16,2016,2,11511 W CHANDLER BLVD,LOS ANGELES ,91601,3,0
2350010025,5/22/19,2019,2,11473 W CHANDLER BLVD,LOS ANGELES ,91601,4,
2350017009,8/7/14,2014,2,5266 N TUJUNGA AVE,Los Angeles ,91601,3,
2353002137,6/28/21,2021,2,5147 N BAKMAN AVE,NORTH HOLLYWOOD ,91601,4,
2353003015,6/26/18,2018,2,5110 N BAKMAN AVE,NORTH HOLLYWOOD ,91601,20,
2353003019,8/16/17,2017,2,11243 W OTSEGO ST,LOS ANGELES ,91601,14,42
