Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
"060371044032","Block Group 2, Census Tract 1044.03, Los Angeles County, California","ACSSF","ca","150","00","0015995",,,,,"06","037",,,"104403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371044032","Block Group 2",,,,57750
"060371044041","Block Group 1, Census Tract 1044.04, Los Angeles County, California","ACSSF","ca","150","00","0015996",,,,,"06","037",,,"104404","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371044041","Block Group 1",,,,73750
"060371044042","Block Group 2, Census Tract 1044.04, Los Angeles County, California","ACSSF","ca","150","00","0015997",,,,,"06","037",,,"104404","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371044042","Block Group 2",,,,61111
"060371045001","Block Group 1, Census Tract 1045, Los Angeles County, California","ACSSF","ca","150","00","0015998",,,,,"06","037",,,"104500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371045001","Block Group 1",,,,59643
"060371045002","Block Group 2, Census Tract 1045, Los Angeles County, California","ACSSF","ca","150","00","0015999",,,,,"06","037",,,"104500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371045002","Block Group 2",,,,81983
"060371046101","Block Group 1, Census Tract 1046.10, Los Angeles County, California","ACSSF","ca","150","00","0016000",,,,,"06","037",,,"104610","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371046101","Block Group 1",,,,56667
"060371046102","Block Group 2, Census Tract 1046.10, Los Angeles County, California","ACSSF","ca","150","00","0016001",,,,,"06","037",,,"104610","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371046102","Block Group 2",,,,85875
"060371046201","Block Group 1, Census Tract 1046.20, Los Angeles County, California","ACSSF","ca","150","00","0016002",,,,,"06","037",,,"104620","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371046201","Block Group 1",,,,78750
"060371046202","Block Group 2, Census Tract 1046.20, Los Angeles County, California","ACSSF","ca","150","00","0016003",,,,,"06","037",,,"104620","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371046202","Block Group 2",,,,75380
"060371047011","Block Group 1, Census Tract 1047.01, Los Angeles County, California","ACSSF","ca","150","00","0016004",,,,,"06","037",,,"104701","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371047011","Block Group 1",,,,88224
"060371047012","Block Group 2, Census Tract 1047.01, Los Angeles County, California","ACSSF","ca","150","00","0016005",,,,,"06","037",,,"104701","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371047012","Block Group 2",,,,35759
"060371047013","Block Group 3, Census Tract 1047.01, Los Angeles County, California","ACSSF","ca","150","00","0016006",,,,,"06","037",,,"104701","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371047013","Block Group 3",,,,70673
"060371047031","Block Group 1, Census Tract 1047.03, Los Angeles County, California","ACSSF","ca","150","00","0016007",,,,,"06","037",,,"104703","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371047031","Block Group 1",,,,63500
"060371047032","Block Group 2, Census Tract 1047.03, Los Angeles County, California","ACSSF","ca","150","00","0016008",,,,,"06","037",,,"104703","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371047032","Block Group 2",,,,50469
"060371047041","Block Group 1, Census Tract 1047.04, Los Angeles County, California","ACSSF","ca","150","00","0016009",,,,,"06","037",,,"104704","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371047041","Block Group 1",,,,45938
