Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060371924102","15000US060371924102","Block Group 2, Census Tract 1924.10, Los Angeles County, California","Block Group 2, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015381",,,,,"06","037",,,,"192410","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,89,378
"060371924103","15000US060371924103","Block Group 3, Census Tract 1924.10, Los Angeles County, California","Block Group 3, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015382",,,,,"06","037",,,,"192410","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,174,138
"060371924104","15000US060371924104","Block Group 4, Census Tract 1924.10, Los Angeles County, California","Block Group 4, Census Tract 1924.10, Los Angeles County, California","ca","150","00","ACSSF","0015383",,,,,"06","037",,,,"192410","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,219,222
"060371924201","15000US060371924201","Block Group 1, Census Tract 1924.20, Los Angeles County, California","Block Group 1, Census Tract 1924.20, Los Angeles County, California","ca","150","00","ACSSF","0015384",,,,,"06","037",,,,"192420","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,113,464
"060371924202","15000US060371924202","Block Group 2, Census Tract 1924.20, Los Angeles County, California","Block Group 2, Census Tract 1924.20, Los Angeles County, California","ca","150","00","ACSSF","0015385",,,,,"06","037",,,,"192420","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,104,672
"060371925101","15000US060371925101","Block Group 1, Census Tract 1925.10, Los Angeles County, California","Block Group 1, Census Tract 1925.10, Los Angeles County, California","ca","150","00","ACSSF","0015386",,,,,"06","037",,,,"192510","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,129,345
"060371925102","15000US060371925102","Block Group 2, Census Tract 1925.10, Los Angeles County, California","Block Group 2, Census Tract 1925.10, Los Angeles County, California","ca","150","00","ACSSF","0015387",,,,,"06","037",,,,"192510","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,51,662
"060371925201","15000US060371925201","Block Group 1, Census Tract 1925.20, Los Angeles County, California","Block Group 1, Census Tract 1925.20, Los Angeles County, California","ca","150","00","ACSSF","0015388",,,,,"06","037",,,,"192520","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,74,815
"060371925202","15000US060371925202","Block Group 2, Census Tract 1925.20, Los Angeles County, California","Block Group 2, Census Tract 1925.20, Los Angeles County, California","ca","150","00","ACSSF","0015389",,,,,"06","037",,,,"192520","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,33,626
"060371926101","15000US060371926101","Block Group 1, Census Tract 1926.10, Los Angeles County, California","Block Group 1, Census Tract 1926.10, Los Angeles County, California","ca","150","00","ACSSF","0015390",,,,,"06","037",,,,"192610","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,13,424
